,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Sex_Code,Embarked_C,Embarked_Q,Embarked_S
0,0.0,3,22.0,1,0,A/5 21171,7.25,,S,0,0,1,0,0,0,0,0,0,1
1,1.0,1,38.0,1,0,PC 17599,71.2833,C85,C,0,0,0,1,0,0,1,1,0,0
2,1.0,3,26.0,0,0,STON/O2. 3101282,7.925,,S,0,1,0,0,0,0,1,0,0,1
3,1.0,1,35.0,1,0,113803,53.1,C123,S,0,0,0,1,0,0,1,0,0,1
4,0.0,3,35.0,0,0,373450,8.05,,S,0,0,1,0,0,0,0,0,0,1
5,0.0,3,26.0,0,0,330877,8.4583,,Q,0,0,1,0,0,0,0,0,1,0
6,0.0,1,54.0,0,0,17463,51.8625,E46,S,0,0,1,0,0,0,0,0,0,1
7,0.0,3,2.0,3,1,349909,21.075,,S,1,0,0,0,0,0,0,0,0,1
8,1.0,3,27.0,0,2,347742,11.1333,,S,0,0,0,1,0,0,1,0,0,1
9,1.0,2,14.0,1,0,237736,30.0708,,C,0,0,0,1,0,0,1,1,0,0
10,1.0,3,4.0,1,1,PP 9549,16.7,G6,S,0,1,0,0,0,0,1,0,0,1
11,1.0,1,58.0,0,0,113783,26.55,C103,S,0,1,0,0,0,0,1,0,0,1
12,0.0,3,20.0,0,0,A/5. 2151,8.05,,S,0,0,1,0,0,0,0,0,0,1
13,0.0,3,39.0,1,5,347082,31.275,,S,0,0,1,0,0,0,0,0,0,1
14,0.0,3,14.0,0,0,350406,7.8542,,S,0,1,0,0,0,0,1,0,0,1
15,1.0,2,55.0,0,0,248706,16.0,,S,0,0,0,1,0,0,1,0,0,1
16,0.0,3,2.0,4,1,382652,29.125,,Q,1,0,0,0,0,0,0,0,1,0
17,1.0,2,31.0,0,0,244373,13.0,,S,0,0,1,0,0,0,0,0,0,1
18,0.0,3,31.0,1,0,345763,18.0,,S,0,0,0,1,0,0,1,0,0,1
19,1.0,3,31.0,0,0,2649,7.225,,C,0,0,0,1,0,0,1,1,0,0
20,0.0,2,35.0,0,0,239865,26.0,,S,0,0,1,0,0,0,0,0,0,1
21,1.0,2,34.0,0,0,248698,13.0,D56,S,0,0,1,0,0,0,0,0,0,1
22,1.0,3,15.0,0,0,330923,8.0292,,Q,0,1,0,0,0,0,1,0,1,0
23,1.0,1,28.0,0,0,113788,35.5,A6,S,0,0,1,0,0,0,0,0,0,1
24,0.0,3,8.0,3,1,349909,21.075,,S,0,1,0,0,0,0,1,0,0,1
25,1.0,3,38.0,1,5,347077,31.3875,,S,0,0,0,1,0,0,1,0,0,1
26,0.0,3,26.0,0,0,2631,7.225,,C,0,0,1,0,0,0,0,1,0,0
27,0.0,1,19.0,3,2,19950,263.0,C23 C25 C27,S,0,0,1,0,0,0,0,0,0,1
28,1.0,3,18.0,0,0,330959,7.8792,,Q,0,1,0,0,0,0,1,0,1,0
29,0.0,3,26.0,0,0,349216,7.8958,,S,0,0,1,0,0,0,0,0,0,1
30,0.0,1,40.0,0,0,PC 17601,27.7208,,C,0,0,0,0,0,1,0,1,0,0
31,1.0,1,40.0,1,0,PC 17569,146.5208,B78,C,0,0,0,1,0,0,1,1,0,0
32,1.0,3,18.0,0,0,335677,7.75,,Q,0,1,0,0,0,0,1,0,1,0
33,0.0,2,66.0,0,0,C.A. 24579,10.5,,S,0,0,1,0,0,0,0,0,0,1
34,0.0,1,28.0,1,0,PC 17604,82.1708,,C,0,0,1,0,0,0,0,1,0,0
35,0.0,1,42.0,1,0,113789,52.0,,S,0,0,1,0,0,0,0,0,0,1
36,1.0,3,26.0,0,0,2677,7.2292,,C,0,0,1,0,0,0,0,1,0,0
37,0.0,3,21.0,0,0,A./5. 2152,8.05,,S,0,0,1,0,0,0,0,0,0,1
38,0.0,3,18.0,2,0,345764,18.0,,S,0,1,0,0,0,0,1,0,0,1
39,1.0,3,14.0,1,0,2651,11.2417,,C,0,1,0,0,0,0,1,1,0,0
40,0.0,3,40.0,1,0,7546,9.475,,S,0,0,0,1,0,0,1,0,0,1
41,0.0,2,27.0,1,0,11668,21.0,,S,0,0,0,1,0,0,1,0,0,1
42,0.0,3,26.0,0,0,349253,7.8958,,C,0,0,1,0,0,0,0,1,0,0
43,1.0,2,3.0,1,2,SC/Paris 2123,41.5792,,C,0,1,0,0,0,0,1,1,0,0
44,1.0,3,19.0,0,0,330958,7.8792,,Q,0,1,0,0,0,0,1,0,1,0
45,0.0,3,26.0,0,0,S.C./A.4. 23567,8.05,,S,0,0,1,0,0,0,0,0,0,1
46,0.0,3,26.0,1,0,370371,15.5,,Q,0,0,1,0,0,0,0,0,1,0
47,1.0,3,18.0,0,0,14311,7.75,,Q,0,1,0,0,0,0,1,0,1,0
48,0.0,3,26.0,2,0,2662,21.6792,,C,0,0,1,0,0,0,0,1,0,0
49,0.0,3,18.0,1,0,349237,17.8,,S,0,0,0,1,0,0,1,0,0,1
50,0.0,3,7.0,4,1,3101295,39.6875,,S,1,0,0,0,0,0,0,0,0,1
51,0.0,3,21.0,0,0,A/4. 39886,7.8,,S,0,0,1,0,0,0,0,0,0,1
52,1.0,1,49.0,1,0,PC 17572,76.7292,D33,C,0,0,0,1,0,0,1,1,0,0
53,1.0,2,29.0,1,0,2926,26.0,,S,0,0,0,1,0,0,1,0,0,1
54,0.0,1,65.0,0,1,113509,61.9792,B30,C,0,0,1,0,0,0,0,1,0,0
55,1.0,1,40.0,0,0,19947,35.5,C52,S,0,0,1,0,0,0,0,0,0,1
56,1.0,2,21.0,0,0,C.A. 31026,10.5,,S,0,1,0,0,0,0,1,0,0,1
57,0.0,3,28.5,0,0,2697,7.2292,,C,0,0,1,0,0,0,0,1,0,0
58,1.0,2,5.0,1,2,C.A. 34651,27.75,,S,0,1,0,0,0,0,1,0,0,1
59,0.0,3,11.0,5,2,CA 2144,46.9,,S,1,0,0,0,0,0,0,0,0,1
60,0.0,3,22.0,0,0,2669,7.2292,,C,0,0,1,0,0,0,0,1,0,0
61,1.0,1,38.0,0,0,113572,80.0,B28,S,0,1,0,0,0,0,1,0,0,1
62,0.0,1,45.0,1,0,36973,83.475,C83,S,0,0,1,0,0,0,0,0,0,1
63,0.0,3,4.0,3,2,347088,27.9,,S,1,0,0,0,0,0,0,0,0,1
64,0.0,1,40.0,0,0,PC 17605,27.7208,,C,0,0,1,0,0,0,0,1,0,0
65,1.0,3,4.0,1,1,2661,15.2458,,C,1,0,0,0,0,0,0,1,0,0
66,1.0,2,29.0,0,0,C.A. 29395,10.5,F33,S,0,0,0,1,0,0,1,0,0,1
67,0.0,3,19.0,0,0,S.P. 3464,8.1583,,S,0,0,1,0,0,0,0,0,0,1
68,1.0,3,17.0,4,2,3101281,7.925,,S,0,1,0,0,0,0,1,0,0,1
69,0.0,3,26.0,2,0,315151,8.6625,,S,0,0,1,0,0,0,0,0,0,1
70,0.0,2,32.0,0,0,C.A. 33111,10.5,,S,0,0,1,0,0,0,0,0,0,1
71,0.0,3,16.0,5,2,CA 2144,46.9,,S,0,1,0,0,0,0,1,0,0,1
72,0.0,2,21.0,0,0,S.O.C. 14879,73.5,,S,0,0,1,0,0,0,0,0,0,1
73,0.0,3,26.0,1,0,2680,14.4542,,C,0,0,1,0,0,0,0,1,0,0
74,1.0,3,32.0,0,0,1601,56.4958,,S,0,0,1,0,0,0,0,0,0,1
75,0.0,3,25.0,0,0,348123,7.65,F G73,S,0,0,1,0,0,0,0,0,0,1
76,0.0,3,26.0,0,0,349208,7.8958,,S,0,0,1,0,0,0,0,0,0,1
77,0.0,3,26.0,0,0,374746,8.05,,S,0,0,1,0,0,0,0,0,0,1
78,1.0,2,0.83,0,2,248738,29.0,,S,1,0,0,0,0,0,0,0,0,1
79,1.0,3,30.0,0,0,364516,12.475,,S,0,1,0,0,0,0,1,0,0,1
80,0.0,3,22.0,0,0,345767,9.0,,S,0,0,1,0,0,0,0,0,0,1
81,1.0,3,29.0,0,0,345779,9.5,,S,0,0,1,0,0,0,0,0,0,1
82,1.0,3,18.0,0,0,330932,7.7875,,Q,0,1,0,0,0,0,1,0,1,0
83,0.0,1,28.0,0,0,113059,47.1,,S,0,0,1,0,0,0,0,0,0,1
84,1.0,2,17.0,0,0,SO/C 14885,10.5,,S,0,1,0,0,0,0,1,0,0,1
85,1.0,3,33.0,3,0,3101278,15.85,,S,0,0,0,1,0,0,1,0,0,1
86,0.0,3,16.0,1,3,W./C. 6608,34.375,,S,0,0,1,0,0,0,0,0,0,1
87,0.0,3,26.0,0,0,SOTON/OQ 392086,8.05,,S,0,0,1,0,0,0,0,0,0,1
88,1.0,1,23.0,3,2,19950,263.0,C23 C25 C27,S,0,1,0,0,0,0,1,0,0,1
89,0.0,3,24.0,0,0,343275,8.05,,S,0,0,1,0,0,0,0,0,0,1
90,0.0,3,29.0,0,0,343276,8.05,,S,0,0,1,0,0,0,0,0,0,1
91,0.0,3,20.0,0,0,347466,7.8542,,S,0,0,1,0,0,0,0,0,0,1
92,0.0,1,46.0,1,0,W.E.P. 5734,61.175,E31,S,0,0,1,0,0,0,0,0,0,1
93,0.0,3,26.0,1,2,C.A. 2315,20.575,,S,0,0,1,0,0,0,0,0,0,1
94,0.0,3,59.0,0,0,364500,7.25,,S,0,0,1,0,0,0,0,0,0,1
95,0.0,3,26.0,0,0,374910,8.05,,S,0,0,1,0,0,0,0,0,0,1
96,0.0,1,71.0,0,0,PC 17754,34.6542,A5,C,0,0,1,0,0,0,0,1,0,0
97,1.0,1,23.0,0,1,PC 17759,63.3583,D10 D12,C,0,0,1,0,0,0,0,1,0,0
98,1.0,2,34.0,0,1,231919,23.0,,S,0,0,0,1,0,0,1,0,0,1
99,0.0,2,34.0,1,0,244367,26.0,,S,0,0,1,0,0,0,0,0,0,1
100,0.0,3,28.0,0,0,349245,7.8958,,S,0,1,0,0,0,0,1,0,0,1
101,0.0,3,26.0,0,0,349215,7.8958,,S,0,0,1,0,0,0,0,0,0,1
102,0.0,1,21.0,0,1,35281,77.2875,D26,S,0,0,1,0,0,0,0,0,0,1
103,0.0,3,33.0,0,0,7540,8.6542,,S,0,0,1,0,0,0,0,0,0,1
104,0.0,3,37.0,2,0,3101276,7.925,,S,0,0,1,0,0,0,0,0,0,1
105,0.0,3,28.0,0,0,349207,7.8958,,S,0,0,1,0,0,0,0,0,0,1
106,1.0,3,21.0,0,0,343120,7.65,,S,0,1,0,0,0,0,1,0,0,1
107,1.0,3,26.0,0,0,312991,7.775,,S,0,0,1,0,0,0,0,0,0,1
108,0.0,3,38.0,0,0,349249,7.8958,,S,0,0,1,0,0,0,0,0,0,1
109,1.0,3,18.0,1,0,371110,24.15,,Q,0,1,0,0,0,0,1,0,1,0
110,0.0,1,47.0,0,0,110465,52.0,C110,S,0,0,1,0,0,0,0,0,0,1
111,0.0,3,14.5,1,0,2665,14.4542,,C,0,1,0,0,0,0,1,1,0,0
112,0.0,3,22.0,0,0,324669,8.05,,S,0,0,1,0,0,0,0,0,0,1
113,0.0,3,20.0,1,0,4136,9.825,,S,0,1,0,0,0,0,1,0,0,1
114,0.0,3,17.0,0,0,2627,14.4583,,C,0,1,0,0,0,0,1,1,0,0
115,0.0,3,21.0,0,0,STON/O 2. 3101294,7.925,,S,0,0,1,0,0,0,0,0,0,1
116,0.0,3,70.5,0,0,370369,7.75,,Q,0,0,1,0,0,0,0,0,1,0
117,0.0,2,29.0,1,0,11668,21.0,,S,0,0,1,0,0,0,0,0,0,1
118,0.0,1,24.0,0,1,PC 17558,247.5208,B58 B60,C,0,0,1,0,0,0,0,1,0,0
119,0.0,3,2.0,4,2,347082,31.275,,S,0,1,0,0,0,0,1,0,0,1
120,0.0,2,21.0,2,0,S.O.C. 14879,73.5,,S,0,0,1,0,0,0,0,0,0,1
121,0.0,3,26.0,0,0,A4. 54510,8.05,,S,0,0,1,0,0,0,0,0,0,1
122,0.0,2,32.5,1,0,237736,30.0708,,C,0,0,1,0,0,0,0,1,0,0
123,1.0,2,32.5,0,0,27267,13.0,E101,S,0,1,0,0,0,0,1,0,0,1
124,0.0,1,54.0,0,1,35281,77.2875,D26,S,0,0,1,0,0,0,0,0,0,1
125,1.0,3,12.0,1,0,2651,11.2417,,C,1,0,0,0,0,0,0,1,0,0
126,0.0,3,26.0,0,0,370372,7.75,,Q,0,0,1,0,0,0,0,0,1,0
127,1.0,3,24.0,0,0,C 17369,7.1417,,S,0,0,1,0,0,0,0,0,0,1
128,1.0,3,18.0,1,1,2668,22.3583,F E69,C,0,1,0,0,0,0,1,1,0,0
129,0.0,3,45.0,0,0,347061,6.975,,S,0,0,1,0,0,0,0,0,0,1
130,0.0,3,33.0,0,0,349241,7.8958,,C,0,0,1,0,0,0,0,1,0,0
131,0.0,3,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,0,0,1,0,0,0,0,0,0,1
132,0.0,3,47.0,1,0,A/5. 3337,14.5,,S,0,0,0,1,0,0,1,0,0,1
133,1.0,2,29.0,1,0,228414,26.0,,S,0,0,0,1,0,0,1,0,0,1
134,0.0,2,25.0,0,0,C.A. 29178,13.0,,S,0,0,1,0,0,0,0,0,0,1
135,0.0,2,23.0,0,0,SC/PARIS 2133,15.0458,,C,0,0,1,0,0,0,0,1,0,0
136,1.0,1,19.0,0,2,11752,26.2833,D47,S,0,1,0,0,0,0,1,0,0,1
137,0.0,1,37.0,1,0,113803,53.1,C123,S,0,0,1,0,0,0,0,0,0,1
138,0.0,3,16.0,0,0,7534,9.2167,,S,0,0,1,0,0,0,0,0,0,1
139,0.0,1,24.0,0,0,PC 17593,79.2,B86,C,0,0,1,0,0,0,0,1,0,0
140,0.0,3,31.0,0,2,2678,15.2458,,C,0,0,0,1,0,0,1,1,0,0
141,1.0,3,22.0,0,0,347081,7.75,,S,0,1,0,0,0,0,1,0,0,1
142,1.0,3,24.0,1,0,STON/O2. 3101279,15.85,,S,0,0,0,1,0,0,1,0,0,1
143,0.0,3,19.0,0,0,365222,6.75,,Q,0,0,1,0,0,0,0,0,1,0
144,0.0,2,18.0,0,0,231945,11.5,,S,0,0,1,0,0,0,0,0,0,1
145,0.0,2,19.0,1,1,C.A. 33112,36.75,,S,0,0,1,0,0,0,0,0,0,1
146,1.0,3,27.0,0,0,350043,7.7958,,S,0,0,1,0,0,0,0,0,0,1
147,0.0,3,9.0,2,2,W./C. 6608,34.375,,S,0,1,0,0,0,0,1,0,0,1
148,0.0,2,36.5,0,2,230080,26.0,F2,S,0,0,1,0,0,0,0,0,0,1
149,0.0,2,42.0,0,0,244310,13.0,,S,0,0,0,0,1,0,0,0,0,1
150,0.0,2,51.0,0,0,S.O.P. 1166,12.525,,S,0,0,0,0,1,0,0,0,0,1
151,1.0,1,22.0,1,0,113776,66.6,C2,S,0,0,0,1,0,0,1,0,0,1
152,0.0,3,55.5,0,0,A.5. 11206,8.05,,S,0,0,1,0,0,0,0,0,0,1
153,0.0,3,40.5,0,2,A/5. 851,14.5,,S,0,0,1,0,0,0,0,0,0,1
154,0.0,3,26.0,0,0,Fa 265302,7.3125,,S,0,0,1,0,0,0,0,0,0,1
155,0.0,1,51.0,0,1,PC 17597,61.3792,,C,0,0,1,0,0,0,0,1,0,0
156,1.0,3,16.0,0,0,35851,7.7333,,Q,0,1,0,0,0,0,1,0,1,0
157,0.0,3,30.0,0,0,SOTON/OQ 392090,8.05,,S,0,0,1,0,0,0,0,0,0,1
158,0.0,3,26.0,0,0,315037,8.6625,,S,0,0,1,0,0,0,0,0,0,1
159,0.0,3,4.0,8,2,CA. 2343,69.55,,S,1,0,0,0,0,0,0,0,0,1
160,0.0,3,44.0,0,1,371362,16.1,,S,0,0,1,0,0,0,0,0,0,1
161,1.0,2,40.0,0,0,C.A. 33595,15.75,,S,0,0,0,1,0,0,1,0,0,1
162,0.0,3,26.0,0,0,347068,7.775,,S,0,0,1,0,0,0,0,0,0,1
163,0.0,3,17.0,0,0,315093,8.6625,,S,0,0,1,0,0,0,0,0,0,1
164,0.0,3,1.0,4,1,3101295,39.6875,,S,1,0,0,0,0,0,0,0,0,1
165,1.0,3,9.0,0,2,363291,20.525,,S,1,0,0,0,0,0,0,0,0,1
166,1.0,1,40.0,0,1,113505,55.0,E33,S,0,0,0,1,0,0,1,0,0,1
167,0.0,3,45.0,1,4,347088,27.9,,S,0,0,0,1,0,0,1,0,0,1
168,0.0,1,40.0,0,0,PC 17318,25.925,,S,0,0,1,0,0,0,0,0,0,1
169,0.0,3,28.0,0,0,1601,56.4958,,S,0,0,1,0,0,0,0,0,0,1
170,0.0,1,61.0,0,0,111240,33.5,B19,S,0,0,1,0,0,0,0,0,0,1
171,0.0,3,4.0,4,1,382652,29.125,,Q,1,0,0,0,0,0,0,0,1,0
172,1.0,3,1.0,1,1,347742,11.1333,,S,0,1,0,0,0,0,1,0,0,1
173,0.0,3,21.0,0,0,STON/O 2. 3101280,7.925,,S,0,0,1,0,0,0,0,0,0,1
174,0.0,1,56.0,0,0,17764,30.6958,A7,C,0,0,1,0,0,0,0,1,0,0
175,0.0,3,18.0,1,1,350404,7.8542,,S,0,0,1,0,0,0,0,0,0,1
176,0.0,3,4.0,3,1,4133,25.4667,,S,1,0,0,0,0,0,0,0,0,1
177,0.0,1,50.0,0,0,PC 17595,28.7125,C49,C,0,1,0,0,0,0,1,1,0,0
178,0.0,2,30.0,0,0,250653,13.0,,S,0,0,1,0,0,0,0,0,0,1
179,0.0,3,36.0,0,0,LINE,0.0,,S,0,0,1,0,0,0,0,0,0,1
180,0.0,3,18.0,8,2,CA. 2343,69.55,,S,0,1,0,0,0,0,1,0,0,1
181,0.0,2,31.0,0,0,SC/PARIS 2131,15.05,,C,0,0,1,0,0,0,0,1,0,0
182,0.0,3,9.0,4,2,347077,31.3875,,S,1,0,0,0,0,0,0,0,0,1
183,1.0,2,1.0,2,1,230136,39.0,F4,S,1,0,0,0,0,0,0,0,0,1
184,1.0,3,4.0,0,2,315153,22.025,,S,0,1,0,0,0,0,1,0,0,1
185,0.0,1,40.0,0,0,113767,50.0,A32,S,0,0,1,0,0,0,0,0,0,1
186,1.0,3,31.0,1,0,370365,15.5,,Q,0,0,0,1,0,0,1,0,1,0
187,1.0,1,45.0,0,0,111428,26.55,,S,0,0,1,0,0,0,0,0,0,1
188,0.0,3,40.0,1,1,364849,15.5,,Q,0,0,1,0,0,0,0,0,1,0
189,0.0,3,36.0,0,0,349247,7.8958,,S,0,0,1,0,0,0,0,0,0,1
190,1.0,2,32.0,0,0,234604,13.0,,S,0,0,0,1,0,0,1,0,0,1
191,0.0,2,19.0,0,0,28424,13.0,,S,0,0,1,0,0,0,0,0,0,1
192,1.0,3,19.0,1,0,350046,7.8542,,S,0,1,0,0,0,0,1,0,0,1
193,1.0,2,3.0,1,1,230080,26.0,F2,S,1,0,0,0,0,0,0,0,0,1
194,1.0,1,44.0,0,0,PC 17610,27.7208,B4,C,0,0,0,1,0,0,1,1,0,0
195,1.0,1,58.0,0,0,PC 17569,146.5208,B80,C,0,1,0,0,0,0,1,1,0,0
196,0.0,3,26.0,0,0,368703,7.75,,Q,0,0,1,0,0,0,0,0,1,0
197,0.0,3,42.0,0,1,4579,8.4042,,S,0,0,1,0,0,0,0,0,0,1
198,1.0,3,18.0,0,0,370370,7.75,,Q,0,1,0,0,0,0,1,0,1,0
199,0.0,2,24.0,0,0,248747,13.0,,S,0,1,0,0,0,0,1,0,0,1
200,0.0,3,28.0,0,0,345770,9.5,,S,0,0,1,0,0,0,0,0,0,1
201,0.0,3,26.0,8,2,CA. 2343,69.55,,S,0,0,1,0,0,0,0,0,0,1
202,0.0,3,34.0,0,0,3101264,6.4958,,S,0,0,1,0,0,0,0,0,0,1
203,0.0,3,45.5,0,0,2628,7.225,,C,0,0,1,0,0,0,0,1,0,0
204,1.0,3,18.0,0,0,A/5 3540,8.05,,S,0,0,1,0,0,0,0,0,0,1
205,0.0,3,2.0,0,1,347054,10.4625,G6,S,0,1,0,0,0,0,1,0,0,1
206,0.0,3,32.0,1,0,3101278,15.85,,S,0,0,1,0,0,0,0,0,0,1
207,1.0,3,26.0,0,0,2699,18.7875,,C,0,0,1,0,0,0,0,1,0,0
208,1.0,3,16.0,0,0,367231,7.75,,Q,0,1,0,0,0,0,1,0,1,0
209,1.0,1,40.0,0,0,112277,31.0,A31,C,0,0,1,0,0,0,0,1,0,0
210,0.0,3,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S,0,0,1,0,0,0,0,0,0,1
211,1.0,2,35.0,0,0,F.C.C. 13528,21.0,,S,0,1,0,0,0,0,1,0,0,1
212,0.0,3,22.0,0,0,A/5 21174,7.25,,S,0,0,1,0,0,0,0,0,0,1
213,0.0,2,30.0,0,0,250646,13.0,,S,0,0,1,0,0,0,0,0,0,1
214,0.0,3,26.0,1,0,367229,7.75,,Q,0,0,1,0,0,0,0,0,1,0
215,1.0,1,31.0,1,0,35273,113.275,D36,C,0,1,0,0,0,0,1,1,0,0
216,1.0,3,27.0,0,0,STON/O2. 3101283,7.925,,S,0,1,0,0,0,0,1,0,0,1
217,0.0,2,42.0,1,0,243847,27.0,,S,0,0,1,0,0,0,0,0,0,1
218,1.0,1,32.0,0,0,11813,76.2917,D15,C,0,1,0,0,0,0,1,1,0,0
219,0.0,2,30.0,0,0,W/C 14208,10.5,,S,0,0,1,0,0,0,0,0,0,1
220,1.0,3,16.0,0,0,SOTON/OQ 392089,8.05,,S,0,0,1,0,0,0,0,0,0,1
